Augment Mod Name,Favored Syndicates,Price
Seeking Shuriken,"Arbiters of Hexis, Red Veil",0
Smoke Shadow,"Arbiters of Hexis, Red Veil",0
Fatal Teleport,"Arbiters of Hexis, Red Veil",0
Rising Storm,"Arbiters of Hexis, Red Veil",0
Rubble Heap,"Steel Meridian, Red Veil",0
Path of Statues,"Steel Meridian, Red Veil",0
Tectonic Fracture,"Steel Meridian, Red Veil",0
Ore Gaze,"Steel Meridian, Red Veil",0
Titanic Rumbler,"Steel Meridian, Red Veil",0
Sonic Fracture,"Cephalon Suda, Perrin Sequence",0
Resonance,"Cephalon Suda, Perrin Sequence",0
Savage Silence,"Cephalon Suda, Perrin Sequence",0
Resonating Quake,"Cephalon Suda, Perrin Sequence",0
Elusive Retribution,"Arbiters of Hexis, New Loka",0
Endless Lullaby,"Arbiters of Hexis, New Loka",0
Reactive Storm,"Arbiters of Hexis, New Loka",0
Afterburn,"Cephalon Suda, Perrin Sequence",0
Everlasting Ward,"Cephalon Suda, Perrin Sequence",0
Guardian Armor,"Cephalon Suda, Perrin Sequence",0
Vexing Retaliation,"Cephalon Suda, Perrin Sequence",0
Guided Effigy,"Cephalon Suda, Perrin Sequence",0
Recrystalize,"Steel Meridian, Red Veil",0
Spectral Spirit,"Red Veil, Perrin Sequence",0
Fireball Frenzy,"Steel Meridian, Red Veil",0
Immolated Radiance,"Steel Meridian, Red Veil",0
Healing Flame,"Steel Meridian, Red Veil",0
Exothermic,"Steel Meridian, Red Veil",0
Duality,"Arbiters of Hexis, New Loka",0
Calm & Frenzy,"Arbiters of Hexis, New Loka",0
Peaceful Provocation,"Arbiters of Hexis, New Loka",0
Energy Transfer,"Arbiters of Hexis, New Loka",0
Surging Dash,"Arbiters of Hexis, Steel Meridian",0
Radiant Finish,"Arbiters of Hexis, Steel Meridian",0
Furious Javelin,"Arbiters of Hexis, Steel Meridian",0
Chromatic Blade,"Arbiters of Hexis, Steel Meridian",0
Warrior's Rest,"Arbiters of Hexis, Red Veil",0
Biting Frost,"Cephalon Suda, Steel Meridian",0
Freeze Force,"Cephalon Suda, Steel Meridian",0
Ice Wave Impedance,"Cephalon Suda, Steel Meridian",0
Chilling Globe,"Cephalon Suda, Steel Meridian",0
Icy Avalanche,"Cephalon Suda, Steel Meridian",0
Shattered Storm,"Arbiters of Hexis, New Loka",0
Mending Splinters,"Arbiters of Hexis, New Loka",0
Spectrosiphon,"Arbiters of Hexis, New Loka",0
Dread Ward,"Steel Meridian, Red Veil",0
Blood Forge,"Steel Meridian, Red Veil",0
Blending Talons,"Steel Meridian, Red Veil",0
Mach Crash,"Arbiters of Hexis, Perrin Sequence",0
Thermal Transfer,"Arbiters of Hexis, Perrin Sequence",0
Gourmand,"Steel Meridian, Red Veil",0
Hearty Nourishment,"Steel Meridian, Red Veil",0
Catapult,"Steel Meridian, Red Veil",0
Gastro,"Steel Meridian, Red Veil",0
Coil Recharge,"Arbiters of Hexis, Perrin Sequence",0
Cathode Current,"Arbiters of Hexis, Perrin Sequence",0
Tribunal,"Arbiters of Hexis, Red Veil",0
Warding Thurible,"Arbiters of Hexis, Red Veil",0
Lasting Covenant,"Arbiters of Hexis, Red Veil",0
Balefire Surge,"Cephalon Suda, Perrin Sequence",0
Blazing Pillage,"Cephalon Suda, Perrin Sequence",0
Aegis Gale,"Cephalon Suda, Perrin Sequence",0
Viral Tempest,"Cephalon Suda, New Loka",0
Tidal Impunity,"Cephalon Suda, New Loka",0
Rousing Plunder,"Cephalon Suda, New Loka",0
Pilfering Swarm,"Cephalon Suda, New Loka",0
Elemental Sandstorm,"Arbiters of Hexis, Perrin Sequence",0
Negation Swarm,"Arbiters of Hexis, Perrin Sequence",0
Desiccation's Curse,"Arbiters of Hexis, Perrin Sequence",0
Empowered Quiver,"Cephalon Suda, Perrin Sequence",0
Piercing Navigator,"Cephalon Suda, Perrin Sequence",0
Infiltrate,"Cephalon Suda, Perrin Sequence",0
Concentrated Arrow,"Cephalon Suda, Perrin Sequence",0
Accumulating Whipclaw,"Steel Meridian, Red Veil",0
Venari Bodyguard,"Steel Meridian, Red Veil",0
Pilfering Strangledome,"Steel Meridian, Red Veil",0
Wrath of Ukko,"Steel Meridian, New Loka",0
Valence Formation,"New Loka, Red Veil",0
Swift Bite,"New Loka, Red Veil",0
Rift Haven,"Arbiters of Hexis, Cephalon Suda",0
Rift Torrent,"Arbiters of Hexis, Cephalon Suda",0
Cataclysmic Continuum,"Arbiters of Hexis, Cephalon Suda",0
Savior Decoy,"Arbiters of Hexis, Red Veil",0
Hushed Invisibility,"Arbiters of Hexis, Red Veil",0
Safeguard Switch,"Arbiters of Hexis, Red Veil",0
Irradiating Disarm,"Arbiters of Hexis, Red Veil",0
Damage Decoy,"Arbiters of Hexis, Red Veil",0
Greedy Pull,"New Loka, Perrin Sequence",0
Magnetized Discharge,"New Loka, Perrin Sequence",0
Counter Pulse,"New Loka, Perrin Sequence",0
Fracturing Crush,"New Loka, Perrin Sequence",0
Ballistic Bullseye,"Steel Meridian, Red Veil",0
Muzzle Flash,"Steel Meridian, Red Veil",0
Staggering Shield,"Steel Meridian, Red Veil",0
Mesa's Waltz,"Steel Meridian, Red Veil",0
Hall of Malevolence,"Arbiters of Hexis, Cephalon Suda",0
Explosive Legerdemain,"Arbiters of Hexis, Cephalon Suda",0
Total Eclipse,"Arbiters of Hexis, Cephalon Suda",0
Soul Survivor,"Red Veil, The Perrin Sequence",0
Creeping Terrify,"Red Veil, The Perrin Sequence",0
Despoil,"Red Veil, The Perrin Sequence",0
Shield of Shadows,"Red Veil, The Perrin Sequence",0
Pyroclastic Flow,"Cephalon Suda, New Loka",0
Reaping Chakram,"Cephalon Suda, New Loka",0
Safeguard,"Cephalon Suda, New Loka",0
Controlled Slide,"Cephalon Suda, New Loka",0
Divine Retribution,"Cephalon Suda, New Loka",0
Abundant Mutation,"Steel Meridian, Perrin Sequence",0
Teeming Virulence,"Steel Meridian, Perrin Sequence",0
Larva Burst,"Steel Meridian, Perrin Sequence",0
Parasitic Vitality,"Steel Meridian, Perrin Sequence",0
Insatiable,"Steel Meridian, Perrin Sequence",0
Neutron Star,"Cephalon Suda, Steel Meridian",0
Antimatter Absorb,"Cephalon Suda, Steel Meridian",0
Escape Velocity,"Cephalon Suda, Steel Meridian",0
Molecular Fission,"Cephalon Suda, Steel Meridian",0
Mind Freak,"Arbiters of Hexis, New Loka",0
Pacifying Bolts,"Arbiters of Hexis, New Loka",0
Chaos Sphere,"Arbiters of Hexis, New Loka",0
Assimilate,"Arbiters of Hexis, New Loka",0
Smite Infusion,"Steel Meridian, New Loka",0
Hallowed Eruption,"Steel Meridian, New Loka",0
Phoenix Renewal,"Steel Meridian, New Loka",0
Hallowed Reckoning,"Steel Meridian, New Loka",0
Partitioned Mallet,"Cephalon Suda, New Loka",0
Conductor,"Cephalon Suda, New Loka",0
Repair Dispensary,"Steel Meridian, The Perrin Sequence",0
Temporal Erosion,"Steel Meridian, The Perrin Sequence",0
Temporal Artillery,"Steel Meridian, The Perrin Sequence",0
